"IntoGen_cancer_type","gene","class","event","n","class_total","prop"
"CCRCC","ARID1B","HM","WT",1,1,1
"CCRCC","ASXL1","WGD","WT",4,4,1
"CCRCC","ASXL1","HM","WT",4,4,1
"CCRCC","ATG7","WGD","WT",4,4,1
"CCRCC","ATM","WGD","WT",4,4,1
"CCRCC","ATM","HM","WT",2,2,1
"CCRCC","ATM","Classic","M",3,3,1
"CCRCC","BAP1","WGD","M",1,5,0.2
"CCRCC","BAP1","WGD","WT",4,5,0.8
"CCRCC","BAP1","Classic","CNA_driver",1,6,0.166666666666667
"CCRCC","BAP1","Classic","M",5,6,0.833333333333333
"CCRCC","BIRC6","WGD","WT",4,4,1
"CCRCC","BIRC6","HM","WT",2,2,1
"CCRCC","BUB1","WGD","CI_M",2,2,1
"CCRCC","CACNA1D","WGD","WT",4,4,1
"CCRCC","CDC73","Classic","M",1,1,1
"CCRCC","CDK12","WGD","WT",5,5,1
"CCRCC","CDK12","HM","WT",1,1,1
"CCRCC","CDKN2A","Classic","CNA_driver",2,2,1
"CCRCC","CHD4","WGD","WT",4,4,1
"CCRCC","CHD4","HM","WT",3,3,1
"CCRCC","CHD4","Classic","WT",2,2,1
"CCRCC","CLTC","WGD","WT",4,4,1
"CCRCC","CLTC","HM","WT",1,1,1
"CCRCC","CNOT1","WGD","M",1,1,1
"CCRCC","CREBBP","WGD","WT",3,3,1
"CCRCC","CREBBP","HM","WT",4,4,1
"CCRCC","CREBBP","Classic","WT",1,1,1
"CCRCC","DNM2","Classic","M",1,1,1
"CCRCC","DNMT3A","WGD","WT",4,4,1
"CCRCC","DNMT3A","HM","WT",2,2,1
"CCRCC","ERBB4","WGD","WT",4,4,1
"CCRCC","ERBB4","HM","WT",2,2,1
"CCRCC","ERBB4","Classic","WT",1,1,1
"CCRCC","FANCD2","WGD","CI_M",2,2,1
"CCRCC","FAT1","WGD","WT",3,3,1
"CCRCC","FAT3","WGD","WT",4,4,1
"CCRCC","FAT3","HM","WT",2,2,1
